airport,lat,lon
Nauru,-0.522778,166.931503
Tarawa,1.4518171,172.9716617
Majuro,7.1164214,171.1857736
Nadi,-17.7765356,177.4356227
Honiara,-9.4456381,159.9728999
Guam,13.444304,144.793731
Chuuk,7.1386759,151.5593065
Pohnpei,6.8541254,158.2623822
Kosrae,5.3095618,162.9814877
Port Vila,-17.7332512,168.3273245
Auckland,-36.8484597,174.7633315
Suva,-18.1248086,178.4500789
Apia,-13.8506958,-171.7513551
Honolulu,21.3069444,-157.8583333
Noumea,-22.2734912,166.4480887
Port Moresby,-9.4385009,147.1899939
Santiago de Chile,-33.4488897,-70.6692655
Easter Island,-27.112723,-109.3496865
Kiritimati,1.8721347,-157.4278119
Papeete,-17.5324608,-149.5677151
Rarotonga,-21.2292371,-159.7763491
Quito,-0.1806532,-78.4678382
Brisbane,-27.4697707,153.0251235
Port Moresby,-9.443800399999999,147.1802671
Sydney,-33.8688197,151.2092955
Tongatapu,-21.1465968,-175.2515482
Pago Pago,-14.2756319,-170.7020359
Funafuti,-8.5211471,179.1961926
Los Angeles,34.0522342,-118.2436849
Yap,9.5556503,138.1399232
Koror,7.3410628000000004,134.4771596
Saipan,15.1850483,145.7467259
Baltra,-0.459667,-90.27139439999999
